tax_id	Org_name	GeneID	CurrentID	Status	Symbol	Aliases	description	other_designations	map_location	chromosome	genomic_nucleotide_accession.version	start_position_on_the_genomic_accession	end_position_on_the_genomic_accession	orientation	exon_count	OMIM	
59729	Taeniopygia guttata	100886721	0	live	MIR2955	tgu-mir-2955	microRNA 2955			1A	NC_011463.1	57982665	57982780	minus	1		
59729	Taeniopygia guttata	100886720	0	live	MIR204-1	tgu-mir-204-1	microRNA 204-1			Z	NC_011493.1	16883812	16883883	plus	1		
59729	Taeniopygia guttata	100886719	0	live	MIR451	tgu-mir-451	microRNA 451			19	NC_011483.1	7265342	7265414	minus	1		
59729	Taeniopygia guttata	100886718	0	live	MIR128-1	tgu-mir-128-1	microRNA 128-1			7	NC_011471.1	33186771	33186841	plus	1		
59729	Taeniopygia guttata	100886717	0	live	MIR1329	tgu-mir-1329	microRNA 1329			3	NC_011466.1	99620780	99620866	plus	1		
59729	Taeniopygia guttata	100886716	0	live	MIR2980-2	tgu-mir-2980-2	microRNA 2980-2			Un							
59729	Taeniopygia guttata	100886715	0	live	MIR155	tgu-mir-155	microRNA 155			1	NC_011462.1	112588974	112589044	plus	1		
59729	Taeniopygia guttata	100886714	0	live	MIR144	tgu-mir-144	microRNA 144			19	NC_011483.1	7265533	7265602	minus	1		
59729	Taeniopygia guttata	100886713	0	live	MIR16B	tgu-mir-16b	microRNA 16b			9	NC_011473.1	25555835	25555906	minus	1		
59729	Taeniopygia guttata	100886712	0	live	MIR217	tgu-mir-217	microRNA 217			3	NC_011466.1	28151737	28151809	plus	1		
59729	Taeniopygia guttata	100886711	0	live	MIR187	tgu-mir-187	microRNA 187			2							
59729	Taeniopygia guttata	100886710	0	live	MIR1-2	tgu-mir-1-2	microRNA 1-2			2	NC_011465.1	108164864	108164935	minus	1		
59729	Taeniopygia guttata	100886709	0	live	MIR142	tgu-mir-142	microRNA 142			19	NC_011483.1	468507	468577	minus	1		
59729	Taeniopygia guttata	100886708	0	live	MIR551	tgu-mir-551	microRNA 551			9	NC_011473.1	23617065	23617135	minus	1		
59729	Taeniopygia guttata	100886707	0	live	MIR383	tgu-mir-383	microRNA 383			4	NC_011467.1	42215192	42215263	plus	1		
59729	Taeniopygia guttata	100886706	0	live	MIR21	tgu-mir-21	microRNA 21			19	NC_011483.1	8993795	8993866	plus	1		
59729	Taeniopygia guttata	100886705	0	live	MIRLET7A-3	tgu-let-7a-3	microRNA let-7a-3			12	NC_011476.1	772013	772103	plus	1		
59729	Taeniopygia guttata	100886704	0	live	MIR138-2	tgu-mir-138-2	microRNA 138-2			11	NC_011475.1	5991080	5991172	minus	1		
59729	Taeniopygia guttata	100886703	0	live	MIR100-2	tgu-mir-100-2	microRNA 100-2			24	NC_011488.1	3149999	3150109	minus	1		
59729	Taeniopygia guttata	100886699	0	live	MIR2969	tgu-mir-2969	microRNA 2969			12	NC_011476.1	3102837	3102938	minus	1		
59729	Taeniopygia guttata	100886698	0	live	MIR2965	tgu-mir-2965	microRNA 2965			7	NC_011471.1	10597644	10597708	minus	1		
59729	Taeniopygia guttata	100886697	0	live	MIR1662	tgu-mir-1662	microRNA 1662			2	NC_011465.1	2943947	2944012	minus	1		
59729	Taeniopygia guttata	100886696	0	live	MIR1677	tgu-mir-1677	microRNA 1677			3	NC_011466.1	76231058	76231133	plus	1		
59729	Taeniopygia guttata	100886695	0	live	MIR460A	tgu-mir-460a	microRNA 460a			2	NC_011465.1	1092239	1092320	minus	1		
59729	Taeniopygia guttata	100886694	0	live	MIR193B	tgu-mir-193b	microRNA 193b			18	NC_011482.1	11017822	11017890	plus	1		
59729	Taeniopygia guttata	100886693	0	live	MIR146B	tgu-mir-146b	microRNA 146b			6	NC_011470.1	22623576	22623647	plus	1		
59729	Taeniopygia guttata	100886692	0	live	MIR34A	tgu-mir-34a	microRNA 34a			21	NC_011485.1	5249928	5249999	plus	1		
59729	Taeniopygia guttata	100886691	0	live	MIR193A	tgu-mir-193a	microRNA 193a			14	NC_011478.1	6793220	6793291	minus	1		
59729	Taeniopygia guttata	100886690	0	live	MIR454	tgu-mir-454	microRNA 454			15	NC_011479.1	8486784	8486856	plus	1		
59729	Taeniopygia guttata	100886689	0	live	MIR92-2	tgu-mir-92-2	microRNA 92-2			4A	NC_011468.1	7274404	7274495	plus	1		
59729	Taeniopygia guttata	100886687	0	live	MIR184	tgu-mir-184	microRNA 184			10	NC_011474.1	20485747	20485858	plus	1		
59729	Taeniopygia guttata	100886686	0	live	MIR107	tgu-mir-107	microRNA 107			6	NC_011470.1	18493361	18493433	minus	1		
59729	Taeniopygia guttata	100886684	0	live	MIR24	tgu-mir-24	microRNA 24			Z	NC_011493.1	9899801	9899932	minus	1		
59729	Taeniopygia guttata	100886683	0	live	MIRLET7G-2	tgu-let-7g-2	microRNA let-7g-2			Un							
59729	Taeniopygia guttata	100886682	0	live	MIR2989-2	tgu-mir-2989-2	microRNA 2989-2			8	NC_011472.1	3329105	3329194	minus	1		
59729	Taeniopygia guttata	100886681	0	live	MIRLET7A-4	tgu-let-7a-4	microRNA let-7a-4			26	NC_011490.1	532798	532889	minus	1		
59729	Taeniopygia guttata	100886680	0	live	MIR19B-1	tgu-mir-19b-1	microRNA 19b-1			1	NC_011462.1	43202482	43202554	minus	1		
59729	Taeniopygia guttata	100886679	0	live	MIR7-3	tgu-mir-7-3	microRNA 7-3			10	NC_011474.1	13225597	13225669	minus	1		
59729	Taeniopygia guttata	100886678	0	live	MIRLET7I	tgu-let-7i	microRNA let-7i			1A	NC_011463.1	32383283	32383374	plus	1		
59729	Taeniopygia guttata	100886677	0	live	MIR129	tgu-mir-129	microRNA 129			5	NC_011469.1	19791223	19791305	plus	1		
59729	Taeniopygia guttata	100886675	0	live	MIR2188	tgu-mir-2188	microRNA 2188			22	NC_011486.1	3239208	3239376	minus	1		
59729	Taeniopygia guttata	100886673	0	live	MIR458	tgu-mir-458	microRNA 458			13	NC_011477.1	1397261	1397340	minus	1		
59729	Taeniopygia guttata	100886672	0	live	MIR2956-2	tgu-mir-2956-2	microRNA 2956-2			4A	NC_011468.1	17209002	17209082	plus	1		
59729	Taeniopygia guttata	100886668	0	live	MIR34C-2	tgu-mir-34c-2	microRNA 34c-2			Un							
59729	Taeniopygia guttata	100886667	0	live	MIR34C-1	tgu-mir-34c-1	microRNA 34c-1			24	NC_011488.1	1752711	1752787	minus	1		
59729	Taeniopygia guttata	100886666	0	live	MIR2979-2	tgu-mir-2979-2	microRNA 2979-2			Un							
59729	Taeniopygia guttata	100886665	0	live	MIR15C	tgu-mir-15c	microRNA 15c			4A	NC_011468.1	7177772	7177853	plus	1		
59729	Taeniopygia guttata	100886664	0	live	MIR489	tgu-mir-489	microRNA 489			2	NC_011465.1	25436279	25436376	minus	1		
59729	Taeniopygia guttata	100886663	0	live	MIR205	tgu-mir-205	microRNA 205			1A	NC_011463.1	622279	622359	minus	1		
59729	Taeniopygia guttata	100886661	0	live	MIR30D	tgu-mir-30d	microRNA 30d			2	NC_011465.1	149540698	149540769	minus	1		
59729	Taeniopygia guttata	100886660	0	live	MIR455	tgu-mir-455	microRNA 455			17	NC_011481.1	5173177	5173247	plus	1		
59729	Taeniopygia guttata	100886659	0	live	MIR146C	tgu-mir-146c	microRNA 146c			13	NC_011477.1	11635088	11635159	plus	1		
59729	Taeniopygia guttata	100886658	0	live	MIR18B	tgu-mir-18b	microRNA 18b			4A	NC_011468.1	7273805	7273936	plus	1		
59729	Taeniopygia guttata	100886657	0	live	MIR203	tgu-mir-203	microRNA 203			5	NC_011469.1	52214055	52214186	plus	1		
59729	Taeniopygia guttata	100886656	0	live	MIR2997	tgu-mir-2997	microRNA 2997			20	NC_011484.1	6709318	6709385	plus	1		
59729	Taeniopygia guttata	100886655	0	live	MIR29B-2	tgu-mir-29b-2	microRNA 29b-2			26	NC_011490.1	3760396	3760466	plus	1		
59729	Taeniopygia guttata	100886654	0	live	MIR29B-1	tgu-mir-29b-1	microRNA 29b-1			1A	NC_011463.1	2715204	2715274	plus	1		
59729	Taeniopygia guttata	100886652	0	live	MIR223	tgu-mir-223	microRNA 223			4A	NC_011468.1	6644931	6645001	minus	1		
59729	Taeniopygia guttata	100886651	0	live	MIR301	tgu-mir-301	microRNA 301			19	NC_011483.1	8783990	8784062	minus	1		
59729	Taeniopygia guttata	100886650	0	live	MIR1388	tgu-mir-1388	microRNA 1388			20	NC_011484.1	8822103	8822194	minus	1		
59729	Taeniopygia guttata	100886649	0	live	MIR216B	tgu-mir-216b	microRNA 216b			3	NC_011466.1	28144514	28144584	plus	1		
59729	Taeniopygia guttata	100886648	0	live	MIR106	tgu-mir-106	microRNA 106			4A	NC_011468.1	7273746	7273818	plus	1		
59729	Taeniopygia guttata	100886647	0	live	MIR190	tgu-mir-190	microRNA 190			10	NC_011474.1	3908501	3908572	minus	1		
59729	Taeniopygia guttata	100886646	0	live	MIR18A	tgu-mir-18a	microRNA 18a			1	NC_011462.1	43202937	43203008	minus	1		
59729	Taeniopygia guttata	100886645	0	live	MIR32	tgu-mir-32	microRNA 32			2	NC_011465.1	89259080	89259150	minus	1		
59729	Taeniopygia guttata	100886644	0	live	MIR16A	tgu-mir-16a	microRNA 16a			1	NC_011462.1	55910032	55910123	plus	1		
59729	Taeniopygia guttata	100886643	0	live	MIR365-2	tgu-mir-365-2	microRNA 365-2			18	NC_011482.1	11031436	11031547	plus	1		
59729	Taeniopygia guttata	100886642	0	live	MIR130C	tgu-mir-130c	microRNA 130c			19	NC_011483.1	8784984	8785095	minus	1		
59729	Taeniopygia guttata	100886641	0	live	MIR130B	tgu-mir-130b	microRNA 130b			15	NC_011479.1	8487921	8488052	plus	1		
59729	Taeniopygia guttata	100886640	0	live	MIR215	tgu-mir-215	microRNA 215			3	NC_011466.1	9653905	9653975	plus	1		
59729	Taeniopygia guttata	100886639	0	live	MIR216A	tgu-mir-216a	microRNA 216a			3	NC_011466.1	28149612	28149683	plus	1		
59729	Taeniopygia guttata	100886638	0	live	MIR92-1	tgu-mir-92-1	microRNA 92-1			1	NC_011462.1	43202366	43202437	minus	1		
59729	Taeniopygia guttata	100886637	0	live	MIR130A	tgu-mir-130a	microRNA 130a			15	NC_011479.1	8478910	8478981	plus	1		
59729	Taeniopygia guttata	100886636	0	live	MIR133-2	tgu-mir-133-2	microRNA 133-2			3	NC_011466.1	110618925	110618995	plus	1		
59729	Taeniopygia guttata	100886635	0	live	MIR204-4	tgu-mir-204-4	microRNA 204-4			28	NC_011492.1	1367959	1368050	minus	1		
59729	Taeniopygia guttata	100886634	0	live	MIR204-3	tgu-mir-204-3	microRNA 204-3			28	NC_011492.1	1366327	1366418	minus	1		
59729	Taeniopygia guttata	100886630	0	live	MIR17A	tgu-mir-17a	microRNA 17a			1	NC_011462.1	43203076	43203147	minus	1		
59729	Taeniopygia guttata	100886629	0	live	MIR181B-2	tgu-mir-181b-2	microRNA 181b-2			17	NC_011481.1	10713241	10713314	plus	1		
59729	Taeniopygia guttata	100886628	0	live	MIR1-1	tgu-mir-1-1	microRNA 1-1			20	NC_011484.1	10493672	10493743	minus	1		
59729	Taeniopygia guttata	100886627	0	live	MIR135B	tgu-mir-135b	microRNA 135b			12	NC_011476.1	6536042	6536114	minus	1		
59729	Taeniopygia guttata	100886626	0	live	MIR135A-1	tgu-mir-135a-1	microRNA 135a-1			1A	NC_011463.1	45650428	45650500	plus	1		
59729	Taeniopygia guttata	100886625	0	live	MIR194-1	tgu-mir-194-1	microRNA 194-1			3	NC_011466.1	9653586	9653657	plus	1		
59729	Taeniopygia guttata	100886623	0	live	MIR15A	tgu-mir-15a	microRNA 15a			1	NC_011462.1	55909891	55909961	plus	1		
59729	Taeniopygia guttata	100886622	0	live	MIR20A	tgu-mir-20a	microRNA 20a			1	NC_011462.1	43202624	43202696	minus	1		
59729	Taeniopygia guttata	100886621	0	live	MIR153-1	tgu-mir-153-1	microRNA 153-1			2	NC_011465.1	9797628	9797699	minus	1		
59729	Taeniopygia guttata	100886619	0	live	MIR490-2	tgu-mir-490-2	microRNA 490-2			1A	NC_011463.1	58337862	58337954	plus	1		
59729	Taeniopygia guttata	100886617	0	live	MIR181A-2	tgu-mir-181a-2	microRNA 181a-2			17	NC_011481.1	10712187	10712259	plus	1		
59729	Taeniopygia guttata	100886616	0	live	MIR126	tgu-mir-126	microRNA 126			17	NC_011481.1	8833549	8833680	minus	1		
59729	Taeniopygia guttata	100886615	0	live	MIR137	tgu-mir-137	microRNA 137			8	NC_011472.1	8780107	8780179	plus	1		
59729	Taeniopygia guttata	100886614	0	live	MIR338	tgu-mir-338	microRNA 338			14	NC_011478.1	14972005	14972076	minus	1		
59729	Taeniopygia guttata	100886613	0	live	MIR34B	tgu-mir-34b	microRNA 34b			24	NC_011488.1	1752148	1752220	minus	1		
59729	Taeniopygia guttata	100886612	0	live	MIRLET7D	tgu-let-7d	microRNA let-7d			12	NC_011476.1	773412	773503	plus	1		
59729	Taeniopygia guttata	100886611	0	live	MIR30A	tgu-mir-30a	microRNA 30a			23							
59729	Taeniopygia guttata	100886610	0	live	MIR29A-2	tgu-mir-29a-2	microRNA 29a-2			26	NC_011490.1	3761359	3761429	plus	1		
59729	Taeniopygia guttata	100886609	0	live	MIR29A-1	tgu-mir-29a-1	microRNA 29a-1			1A	NC_011463.1	2716218	2716288	plus	1		
59729	Taeniopygia guttata	100886608	0	live	MIRLET7F	tgu-let-7f	microRNA let-7f			12	NC_011476.1	772417	772508	plus	1		
59729	Taeniopygia guttata	100886607	0	live	MIRLET7G-1	tgu-let-7g-1	microRNA let-7g-1			12	NC_011476.1	6512028	6512119	minus	1		
59729	Taeniopygia guttata	100886606	0	live	MIR1559	tgu-mir-1559	microRNA 1559			7	NC_011471.1	27262570	27262701	minus	1		
59729	Taeniopygia guttata	100886605	0	live	MIR99-2	tgu-mir-99-2	microRNA 99-2			Un							
59729	Taeniopygia guttata	100886604	0	live	MIR99-1	tgu-mir-99-1	microRNA 99-1			1	NC_011462.1	109661967	109662037	plus	1		
59729	Taeniopygia guttata	100886603	0	live	MIR103-3	tgu-mir-103-3	microRNA 103-3			Un							
59729	Taeniopygia guttata	100886602	0	live	MIR218-1	tgu-mir-218-1	microRNA 218-1			4	NC_011467.1	54394615	54394725	minus	1		
59729	Taeniopygia guttata	100886601	0	live	MIR30C	tgu-mir-30c	microRNA 30c			3	NC_011466.1	84746568	84746639	plus	1		
59729	Taeniopygia guttata	100886600	0	live	MIRLET7C-2	tgu-let-7c-2	microRNA let-7c-2			Un							
59729	Taeniopygia guttata	100886599	0	live	MIRLET7A-2	tgu-let-7a-2	microRNA let-7a-2			24	NC_011488.1	3137431	3137522	minus	1		
59729	Taeniopygia guttata	100886598	0	live	MIRLET7A-1	tgu-let-7a-1	microRNA let-7a-1			1A	NC_011463.1	61564945	61565036	minus	1		
59729	Taeniopygia guttata	100886597	0	live	MIRLET7E	tgu-let-7e	microRNA let-7e			26	NC_011490.1	532984	533075	minus	1		
59729	Taeniopygia guttata	100886596	0	live	MIR26-2	tgu-mir-26-2	microRNA 26-2			Un							
59729	Taeniopygia guttata	100886595	0	live	MIR26-1	tgu-mir-26-1	microRNA 26-1			2	NC_011465.1	4696535	4696606	plus	1		
59729	Taeniopygia guttata	100886594	0	live	MIR138-1	tgu-mir-138-1	microRNA 138-1			2	NC_011465.1	61107967	61108039	minus	1		
59729	Taeniopygia guttata	100886593	0	live	MIR222-1	tgu-mir-222-1	microRNA 222-1			1	NC_011462.1	5260725	5260798	plus	1		
59729	Taeniopygia guttata	100886592	0	live	MIR128-2	tgu-mir-128-2	microRNA 128-2			2	NC_011465.1	28894377	28894486	minus	1		
59729	Taeniopygia guttata	100886591	0	live	MIR221	tgu-mir-221	microRNA 221			1	NC_011462.1	5261236	5261308	plus	1		
59729	Taeniopygia guttata	100886590	0	live	MIR7-4	tgu-mir-7-4	microRNA 7-4			28	NC_011492.1	3838836	3838928	minus	1		
59729	Taeniopygia guttata	100886589	0	live	MIR7-2	tgu-mir-7-2	microRNA 7-2			10	NC_011474.1	13221462	13221534	minus	1		
59729	Taeniopygia guttata	100886588	0	live	MIR7-1	tgu-mir-7-1	microRNA 7-1			Z	NC_011493.1	52731915	52731987	plus	1		
59729	Taeniopygia guttata	100886587	0	live	MIRLET7B	tgu-let-7b	microRNA let-7b			1A	NC_011463.1	61564105	61564196	minus	1		
59729	Taeniopygia guttata	100886586	0	live	MIR101-1	tgu-mir-101-1	microRNA 101-1			Z	NC_011493.1	64083558	64083629	minus	1		
59729	Taeniopygia guttata	100886585	0	live	MIR124-1	tgu-mir-124-1	microRNA 124-1			2	NC_011465.1	120492455	120492565	plus	1		
59729	Taeniopygia guttata	100886584	0	live	MIR125-2	tgu-mir-125-2	microRNA 125-2			24	NC_011488.1	3113096	3113167	minus	1		
59729	Taeniopygia guttata	100886583	0	live	MIR125-1	tgu-mir-125-1	microRNA 125-1			1	NC_011462.1	109696652	109696723	plus	1		
59729	Taeniopygia guttata	100886582	0	live	MIR148	tgu-mir-148	microRNA 148			2	NC_011465.1	52006663	52006774	minus	1		
59729	Taeniopygia guttata	100886581	0	live	MIR363	tgu-mir-363	microRNA 363			4A	NC_011468.1	7274550	7274638	plus	1		
59729	Taeniopygia guttata	100886580	0	live	MIR139	tgu-mir-139	microRNA 139			1	NC_011462.1	113641295	113641379	minus	1		
59729	Taeniopygia guttata	100886578	0	live	MIR2987	tgu-mir-2987	microRNA 2987			12	NC_011476.1	776733	776812	plus	1		
59729	Taeniopygia guttata	100886576	0	live	MIR2984	tgu-mir-2984	microRNA 2984			1	NC_011462.1	39743243	39743336	minus	1		
59729	Taeniopygia guttata	100886575	0	live	MIR2983	tgu-mir-2983	microRNA 2983			5	NC_011469.1	14115790	14115863	plus	1		
59729	Taeniopygia guttata	100886574	0	live	MIR2979-1	tgu-mir-2979-1	microRNA 2979-1			1	NC_011462.1	47711423	47711509	minus	1		
59729	Taeniopygia guttata	100886573	0	live	MIR2978	tgu-mir-2978	microRNA 2978			18	NC_011482.1	7548428	7548489	minus	1		
59729	Taeniopygia guttata	100886571	0	live	MIR2975	tgu-mir-2975	microRNA 2975			26							
59729	Taeniopygia guttata	100886569	0	live	MIR2973	tgu-mir-2973	microRNA 2973			Z	NC_011493.1	43522129	43522205	minus	1		
59729	Taeniopygia guttata	100886568	0	live	MIR2971	tgu-mir-2971	microRNA 2971			12	NC_011476.1	2419453	2419553	minus	1		
59729	Taeniopygia guttata	100886567	0	live	MIR2970	tgu-mir-2970	microRNA 2970			12	NC_011476.1	12254481	12254632	plus	1		
59729	Taeniopygia guttata	100886564	0	live	MIR2954	tgu-mir-2954	microRNA 2954			Z	NC_011493.1	31606464	31606535	plus	1		
59729	Taeniopygia guttata	100886563	0	live	MIR425	tgu-mir-425	microRNA 425			12	NC_011476.1	12254268	12254356	plus	1		
59729	Taeniopygia guttata	100886562	0	live	MIR456	tgu-mir-456	microRNA 456			3	NC_011466.1	36454435	36454513	plus	1		
59729	Taeniopygia guttata	100886561	0	live	MIR1729	tgu-mir-1729	microRNA 1729			15	NC_011479.1	8049890	8049991	minus	1		
59729	Taeniopygia guttata	100886560	0	live	MIR146A	tgu-mir-146a	microRNA 146a			4	NC_011467.1	69209753	69209868	minus	1		
59729	Taeniopygia guttata	100886559	0	live	MIR2963	tgu-mir-2963	microRNA 2963			22							
59729	Taeniopygia guttata	100886558	0	live	MIR2962	tgu-mir-2962	microRNA 2962			17	NC_011481.1	6428017	6428101	plus	1		
59729	Taeniopygia guttata	100886556	0	live	MIR1784	tgu-mir-1784	microRNA 1784			3	NC_011466.1	31872434	31872525	minus	1		
59729	Taeniopygia guttata	100886555	0	live	MIR2958	tgu-mir-2958	microRNA 2958			21	NC_011485.1	2262481	2262581	minus	1		
59729	Taeniopygia guttata	100886554	0	live	MIR2956-1	tgu-mir-2956-1	microRNA 2956-1			4A	NC_011468.1	17209002	17209082	minus	1		
59729	Taeniopygia guttata	100886553	0	live	MIR1805	tgu-mir-1805	microRNA 1805			1	NC_011462.1	32735542	32735629	plus	1		
59729	Taeniopygia guttata	100886552	0	live	MIR1451	tgu-mir-1451	microRNA 1451			3	NC_011466.1	78313627	78313727	plus	1		
59729	Taeniopygia guttata	100499188	0	live	IL34		interleukin 34	interleukin-34		11	NC_011475.1	5575499	5577560	minus	6		
59729	Taeniopygia guttata	100499187	0	live	CSF1		colony stimulating factor 1	macrophage colony-stimulating factor 1		26	NC_011490.1	24188	27419	plus	6		
59729	Taeniopygia guttata	100232797	0	live	VT1		vasotocin receptor 1	arg8-vasotocin receptor		1A	NC_011463.1	27785040	27787243	minus	2		
59729	Taeniopygia guttata	100229512	0	live	TNNI3K		TNNI3 interacting kinase	serine/threonine-protein kinase TNNI3K		8	NC_011472.1	27680535	27705340	plus	25		
59729	Taeniopygia guttata	100221836	0	live	AVPR1A		arginine vasopressin receptor 1A	vasopressin V1a receptor		1A	NC_011463.1	32624808	32628422	minus	3		
59729	Taeniopygia guttata	100220482	0	live	CSF1R		colony stimulating factor 1 receptor	macrophage colony-stimulating factor 1 receptor		13	NC_011477.1	6954381	6972446	plus	21		
59729	Taeniopygia guttata	100219759	0	live	AVPR1B	AVT2R, VT2	arginine vasopressin receptor 1B	vasopressin V1b receptor|arginine vasotocin receptor|vasotocin receptor 2		26							
59729	Taeniopygia guttata	100218825	0	live	MBNL1		muscleblind like splicing regulator 1	muscleblind-like protein 1		9	NC_011473.1	26700159	26743709	minus	9		
59729	Taeniopygia guttata	778447	0	live	GAD2	GAD	glutamate decarboxylase 2	glutamate decarboxylase 2|glutamate decarboxylase 1 (brain, 67kDa)|glutamic acid decarboxylase 65-like protein		2	NC_011465.1	17940806	17981452	minus	14		
59729	Taeniopygia guttata	778442	0	live	GAD1	GAD67	glutamate decarboxylase 1	LOW QUALITY PROTEIN: glutamate decarboxylase 1|glutamate decarboxylase 1 (brain, 67kDa)		7	NC_011471.1	14849364	14882644	plus	17		
59729	Taeniopygia guttata	752011	0	live	OXTR	MTR, VT3	oxytocin receptor	oxytocin receptor|mesotocin receptor|vasotocin receptor 3		12	NC_011476.1	20974715	20977711	minus	2		
59729	Taeniopygia guttata	752004	0	live	LWS		LWS opsin	red-sensitive opsin|long-wavelength sensitive opsin									
59729	Taeniopygia guttata	751973	0	live	SWS2		SWS2 opsin	blue-sensitive opsin|short-wavelength sensitive type 2 opsin									
